Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
12/01/2021 10:16,1725,93,88,427,131,667.5,51.3,147.15
12/01/2021 9:25,800,20,82,278,1.5,571,38.5,12.25
12/01/2021 8:55,1701,89,84,436.5,120,669,43.9,137.85
12/01/2021 8:25,1691,90,84,434.5,124.5,670,43,139.75
11/30/2021 19:31,1419,36,82,435.5,13.5,628.5,33.8,39.05
11/30/2021 19:01,799.5,27,82,276,1.5,565.5,38,14.35
11/30/2021 18:00,799,23,82,276,0.5,569.5,36.9,13.2
11/30/2021 17:35,799.5,23,83,276,1.5,569,37.3,13.2
11/30/2021 16:46,800.5,20,82,278,1,569,38.1,12.45
11/30/2021 16:16,801,23,82,275,1,569.5,38.8,13.2
11/30/2021 15:46,801,19,82,278.5,1,568.5,37.8,11.9
11/30/2021 15:16,799.5,18,82,273.5,1.5,568.5,39.4,11.5
11/30/2021 14:46,1801.5,30,83,453,26.5,669,39,53.55
11/30/2021 14:16,1727.5,96,83,447,74,672.5,39.2,149.85
11/30/2021 13:46,1785,28,83,450.5,43.5,668.5,38.5,55.35
11/30/2021 13:16,1755,90,82,452,65.5,663.5,36.5,143.45
11/30/2021 12:46,1825,38,83,449,72.5,664,37.2,73.4
11/30/2021 12:16,1640,76,82,439.5,95.5,664,42.3,120.65
11/30/2021 11:22,801,21,82,276.5,1.5,571,35.3,12.85
11/30/2021 10:52,800,21,82,277.5,1,572,35.1,12.95
11/30/2021 10:22,801,23,82,280,1.5,574.5,32.9,13.2
11/29/2021 18:25,1670.5,83,84,440.5,107,662,40.3,132.05
11/29/2021 17:54,799,20,82,277,1,565,41.1,12.35
11/29/2021 17:24,1300,23,82,428.5,5.5,614,43.2,24.6
11/29/2021 16:54,1891,42,83,449,81.5,674,40.9,66.85
11/29/2021 16:24,1832.5,30,82,456,72,671,40.8,64.7
11/29/2021 15:54,799.5,20,82,277.5,1,562.5,42.9,12.45
11/29/2021 15:24,1783.5,27,83,449.5,40,635,43.5,53.2
11/29/2021 14:54,1113.5,26,82,406,6,599,43.5,23.5
11/29/2021 14:24,1818,30,83,448.5,72.5,669,42.5,66.5
11/29/2021 13:54,1841.5,28,82,451.5,39,669,42.4,50.85
11/29/2021 13:24,1754.5,62,83,447.5,76.5,674,41.8,111.75
11/29/2021 12:54,1135.5,29,82,404.5,7,605.5,41.6,24.35
11/29/2021 12:24,1800,27,83,451,39.5,662.5,40.2,57
11/29/2021 11:54,1861.5,65,83,449.5,94,678,40,72.8
11/29/2021 11:24,1498,63,82,445.5,39.5,635.5,38.9,78.6
11/29/2021 10:54,1298,30,82,428.5,6.5,631,37.6,30.05
11/29/2021 10:24,800.5,26,82,280,2,575.5,35.9,14
11/28/2021 16:55,1327.5,24,84,420.5,10,622.5,49.9,25.9
11/28/2021 16:25,1369.5,28,83,431.5,7.5,623,46.8,31.6
11/28/2021 15:55,1111,27,82,403,6,608,44.5,23.05
11/28/2021 15:25,1713.5,75,83,453.5,41.5,662.5,43.7,119.25
11/28/2021 14:55,800.5,21,82,276,0.5,562.5,42.9,12.85
11/28/2021 13:52,1302.5,27,82,427.5,6,613.5,44,27.3
11/28/2021 13:22,1096,52,82,404,6,605,43.4,30.15
11/28/2021 12:52,1827.5,17,83,448,55.5,669,43.3,47.05
